view,array, 0.5,1,view iterator,array iterator
sorted bag,map iterator, 0.5,3,test unmodifiable sorted bag,test unmodifiable map iterator,abstract sorted bag decorator,abstract map iterator decorator,abstract test sorted bag,abstract test map iterator
keyed,unmodifiable, 0.666666666666667,2,test keyed iterator,test unmodifiable iterator,test keyed iterator,test unmodifiable iterator
bag,link, 0.5,1,bag iterator,link iterator
impl,node, 0.5,1,remove impl,remove node
leaf,view, 0.5,1,leaf iterator,view iterator
bounded,composite, 0.666666666666667,1,test bounded map,test composite map
add remove,list iterator, 0.5,1,test list add remove,test list list iterator
leaf,ordered, 0.5,1,leaf iterator,ordered iterator
find,entry, 0.5,1,find next,entry next
unique filter,unmodifiable map, 0.5,1,test unique filter iterator,test unmodifiable map iterator
null,index, 0.5,1,next null,next index
string,integer, 0.75,4,set some string value,get some integer value,set some string value,set some integer value,get some string value,get some integer value,get some string value,set some integer value
string,transformed, 0.5,2,string predicate,transformed predicate,string buffer,transformed buffer
order,loop, 0.5,1,ordered iterator,looping iterator
empty map,array list, 0.5,3,make empty map iterator,make array list iterator,test empty map iterator,test array list iterator,test empty map iterator,test array list iterator
one,false, 0.666666666666667,2,one predicate,false predicate,test one predicate,test false predicate
add replacing,iterator remove, 0.5,1,test list add replacing,test list iterator remove
full,empty, 0.8,32,test canonical full collection exists,test canonical empty collection exists,test full list serialization,test empty list serialization,test full bag serialization,test empty bag serialization,test empty map iterator,test full map serialization,test full map serialization,test empty map compatibility,make full map iterator,make empty map iterator,make full bidi map,make empty bidi map,make full map,make empty map,test full map iterator,test empty map iterator,test full map iterator,test empty map compatibility,test empty map iterator,test full map compatibility,test full map compatibility,test empty map compatibility,get canonical full collection name,get canonical empty collection name,supports full iterator,supports empty iterator,test full iterator,test empty iterator,make full list iterator,make empty list iterator,make full iterator,make empty iterator,make full linked list,make empty linked list,make full list,make empty list,make full set,make empty set,reset full,reset empty,test empty list iterator,test full list compatibility,test full list compatibility,test empty list serialization,test full list compatibility,test empty list compatibility,test empty list sort,test full list compatibility,test empty list iterator,test full list serialization,test full list serialization,test empty list compatibility,test empty list sort,test full list serialization,test full bag compatibility,test empty bag compatibility,supports full collections,supports empty collections,test full bag compatibility,test empty bag serialization,test full bag serialization,test empty bag compatibility
utils,closure, 0.666666666666667,2,test transformer utils,test transformer closure,transformer utils,transformer closure
order,confirm, 0.666666666666667,1,get ordered map,get confirmed map
before,iterator, 0.5,2,entry before,entry iterator,entry before,entry iterator
lru,error, 0.666666666666667,1,test remove lru,test remove error
entry,check, 0.5,1,entry key,check key
make,verify, 0.5,1,make map,verify map
key,greater, 0.5,1,next key,next greater
add,supports, 0.666666666666667,1,add set value,supports set value
