same height,align center, 0.5,1,format command same height,format command align center
same width,join right, 0.5,1,format command same width,format command join right
lines,string, 0.5,1,insert lines,insert string
import,element, 0.5,1,add import,add element
fonts,jrproperty, 0.5,1,fonts dialog,jrproperty dialog
group,compatible, 0.5,1,groups dialog,compatibility dialog
thread,jrproperty, 0.5,1,remove thread,remove jrproperty
xyarea,selected, 0.5,1,xyarea chart,selected chart
text,shapes, 0.666666666666667,2,is show text,is show shapes,set show text,set show shapes
log,thread, 0.5,1,remove log,remove thread
start date,time period, 0.5,2,get start date expression,get time period expression,set start date expression,set time period expression
value,style, 0.666666666666667,4,value changed event,style changed event,update styles,update values,styles dialog,values dialog,value changed,style changed
idltoken,plsqltoken, 0.5,1,idltoken marker,plsqltoken marker
person,address, 0.5,1,person bean,address bean
load,update, 0.666666666666667,1,load file list,update file list
line,frame, 0.666666666666667,1,line report element,frame report element
low,value, 0.833333333333333,3,j rtext expression low text changed,j rtext expression value text changed,set low expression,set value expression,get low expression,get value expression
undo,redo, 0.666666666666667,2,get undo operation,get redo operation,set undo enebled,set redo enebled
title,bands, 0.5,1,update title,update bands
groups,selection, 0.5,1,update groups,update selection
values,dataset, 0.666666666666667,1,set values panel,set dataset panel
font,document, 0.5,1,font changed,document changed
values,jrfield, 0.5,1,values dialog,jrfield dialog
pcdata,xyzdataset, 0.5,1,read pcdata,read xyzdataset
pie,xyarea, 0.5,1,pie chart,xyarea chart
jrtoken,htmltoken, 0.5,1,jrtoken marker,htmltoken marker
frame,components, 0.5,1,init frame,init components
node,window, 0.666666666666667,1,get node id,get window id
end date,parameters map, 0.5,2,set end date expression,set parameters map expression,get end date expression,get parameters map expression
enebled,password, 0.666666666666667,1,set save enebled,set save password
font,band, 0.5,2,update fonts,update bands,bands dialog,fonts dialog
mode,metrics, 0.666666666666667,1,get font mode,get font metrics
top,left, 0.8,10,format command align top,format command align left,j spinner top state changed,j spinner left state changed,set top border color,set left border color,get top border color,get left border color,get top margin,get left margin,set top margin,set left margin,set top border,set left border,get top border,get left border,set top padding,set left padding,get top padding,get left padding
serie,property, 0.666666666666667,2,get serie name,get property name,set serie name,set property name
java,eiffel, 0.666666666666667,1,java token marker,eiffel token marker
jrtable model,jrextended bean, 0.5,1,jrtable model data source,jrextended bean data source
group,child, 0.5,1,add group,add child
fonts,jrfield, 0.5,1,fonts dialog,jrfield dialog
pie,sub, 0.666666666666667,3,get pie dataset,get sub dataset,set pie dataset,set sub dataset,pie dataset,sub dataset
bound,parameter, 0.5,1,update bounds,update parameters
values,library, 0.666666666666667,3,get values panel,get library panel,values panel,library panel,set values panel,set library panel
text,find, 0.666666666666667,1,text report element,find report element
done,string, 0.5,1,export done,export string
file,thread, 0.666666666666667,1,update file list,update thread list
new,property, 0.666666666666667,2,set new value,set property value,get new value,get property value
count,enabled, 0.666666666666667,1,set repeat count,set repeat enabled
groups,sample, 0.5,1,update groups,update sample
title,elements, 0.5,1,update title,update elements
jrparameter,connections, 0.5,1,jrparameter dialog,connections dialog
key,area, 0.833333333333333,1,j rtext expression key text changed,j rtext expression area text changed
key,property, 0.666666666666667,2,get key name,get property name,set key name,set property name
join left,align center, 0.5,1,format command join left,format command align center
end,handler, 0.5,1,document end,document handler
xyseries,xyzdataset, 0.5,1,read xyseries,read xyzdataset
yvalue,connection, 0.666666666666667,2,set yvalue expression,set connection expression,get yvalue expression,get connection expression
next,old, 0.5,1,get next element key,get old element group
plot,info, 0.5,1,line plot,line info
date,xvalue, 0.666666666666667,2,get date expression,get xvalue expression,set date expression,set xvalue expression
key,expression, 0.5,2,get string map key,get parameters map expression,get segment map key,get parameters map expression
string,segment, 0.75,1,get string map key,get segment map key
same width,align center, 0.5,1,format command same width,format command align center
values,jrproperty, 0.5,1,values dialog,jrproperty dialog
value,attribute, 0.75,2,get value as boolean,get attribute as boolean,get value as integer,get attribute as integer
xmlband,xyzseries, 0.5,1,write xmlband,write xyzseries
splash,connection, 0.5,1,splash dialog,connection dialog
chart,property, 0.666666666666667,2,get chart name,get property name,set chart name,set property name
only,text, 0.5,1,set compile selected only,overwrite set selected text
edit,element, 0.5,1,add edit,add element
plot,dchart, 0.5,2,bar plot,bar dchart,pie plot,pie dchart
pcdata,xyseries, 0.5,1,read pcdata,read xyseries
main,init, 0.5,1,main frame,init frame
xaxis label,parameters map, 0.5,2,set xaxis label expression,set parameters map expression,get xaxis label expression,get parameters map expression
cctoken,htmltoken, 0.5,1,cctoken marker,htmltoken marker
edit,parameter, 0.5,1,add edit,add parameter
text,legend, 0.666666666666667,2,is show text,is show legend,set show text,set show legend
read,category, 0.5,1,read dataset,category dataset
state,document, 0.5,1,state changed,document changed
adapter,pressed, 0.5,1,key adapter,key pressed
import,compatibility, 0.5,1,import dialog,compatibility dialog
